municipality,latitude,longitude,surface_total_in_m2,surface_covered_in_m2,rooms,price_aprox_usd
Palermo,-34.60045777,-58.41958444,60.0,55.0,3.0,109000.0
Caballito,-34.609251,-58.431375,90.0,74.0,3.0,235000.0
Caballito,-34.6176482,-58.461917,47.0,42.0,2.0,108868.17
Almagro,-34.6059366787,-58.4279429913,58.0,50.0,3.0,110000.0
Boedo,-34.6267687,-58.4252038,40.0,35.0,,76095.39
Nuñez,-34.5461486,-58.4701644,40.0,37.0,1.0,109500.0
Flores,-34.6304929847,-58.4714369005,84.0,84.0,4.0,150000.0
Barrio Norte,-34.6010089,-58.3970827,35.0,35.0,1.0,70000.0
Boedo,-34.6294067,-58.4127411,99.0,57.0,2.0,130000.0
Boedo,-34.63099,-58.4201892,36.0,35.0,,71600.0
Belgrano,-34.555915,-58.4634022,40.0,40.0,1.0,100000.0
Villa Devoto,-34.6096687686,-58.5030789741,114.0,114.0,2.0,185000.0
Villa Urquiza,-34.57928,-58.481988,77.0,77.0,3.0,215000.0
Monserrat,-34.6150121,-58.3790009,49.0,36.0,2.0,99000.0
San Nicolás,-34.6021678,-58.386716,55.0,55.0,3.0,140000.0
Villa Urquiza,-34.5709974,-58.5032515,85.0,85.0,3.0,180000.0
San Cristobal,-34.6222103,-58.4043385,48.0,44.0,2.0,106480.93
Palermo,-34.5756938,-58.4225127,65.0,59.0,3.0,165000.0
Villa Crespo,-34.597894,-58.4435135,48.0,44.0,2.0,85000.0
Belgrano,-34.5537202,-58.436904,66.0,66.0,2.0,196700.0
Parque Centenario,-34.6068708,-58.4315804,70.0,50.0,1.0,150000.0
Palermo,-34.5872916,-58.4208279,60.0,45.0,,125000.0
Boedo,-34.626917,-58.425295,58.0,50.0,2.0,127468.0
Boedo,-34.6143519,-58.4155753,173.0,100.0,4.0,159000.0
Almagro,-34.597982,-58.426876,49.0,45.0,2.0,115000.0
Palermo,-34.5739529,-58.4228465,56.0,56.0,,180000.0
Villa Urquiza,-34.58233,-58.4735425,43.0,40.0,2.0,101500.0
Villa Pueyrredón,-34.5811196,-58.5002899,61.0,61.0,3.0,125000.0
Once,-34.6065094803,-58.398132365,54.0,54.0,,80000.0
Once,-34.6028353,-58.3983939,45.0,40.0,1.0,110000.0
Villa Santa Rita,-34.5676615882,-58.457434391,43.0,45.0,1.0,115000.0
Villa Crespo,-34.6021221,-58.443713,63.0,55.0,3.0,115000.0
Caballito,-34.608774,-58.431192,129.0,115.0,4.0,280300.0
Villa Lugano,,,54.0,46.0,2.0,70000.0
Villa Urquiza,-34.5699332591,-58.4489670221,75.0,67.0,3.0,170000.0
Recoleta,-34.6036844,-58.3815591,127.0,127.0,4.0,330000.0
Caballito,-34.6213159,-58.4604044,85.0,80.0,,210000.0
Belgrano,-34.5570247,-58.455372,48.0,42.0,2.0,175000.0
Barrio Norte,-34.5978249,-58.416439,50.0,45.0,1.0,128000.0
Flores,-34.6256305,-58.4574601,45.0,40.0,,120000.0
Villa Urquiza,-34.5719003943,-58.4744939153,90.0,58.0,2.0,175600.0
Mataderos,-34.655089,-58.5092451,110.0,110.0,3.0,150000.0
Palermo,-34.5800393025,-58.4405126993,42.0,42.0,1.0,135000.0
Floresta,-34.6182787,-58.5005212,34.0,34.0,1.0,69900.0
Congreso,-34.6141156894,-58.3982495948,64.0,61.0,3.0,108000.0
Saavedra,-34.5568969,-58.486194,49.0,36.0,1.0,89000.0
Balvanera,-34.6269094624,-58.4200548098,45.0,42.0,,102271.68
Belgrano,-34.5525378183,-58.4594991595,48.0,43.0,2.0,168000.0
Caballito,-34.6261358,-58.4363441,69.0,61.0,3.0,152000.0
Constitución,-34.624976264,-58.3793056213,38.0,38.0,,62700.0
Monserrat,-34.6168693,-58.3917135,77.0,53.0,3.0,145000.0
Parque Chacabuco,-34.6265918,-58.4323446,161.0,145.0,4.0,275000.0
Caballito,-34.6166871,-58.4443684,103.0,91.0,4.0,240000.0
Congreso,-34.611905564,-58.3890692852,92.0,80.0,3.0,89500.0
Boca,-34.6341171,-58.3610926,50.0,44.0,2.0,75000.0
Barrio Norte,-34.587405,-58.39999,36.0,36.0,1.0,105000.0
Belgrano,-34.5608098,-58.4425707,86.0,75.0,3.0,320000.0
Recoleta,-34.5895459,-58.3973636,128.0,128.0,,295000.0
Centro / Microcentro,-34.6040046,-58.3868697,75.0,75.0,3.0,157000.0
Parque Centenario,-34.6038236,-58.4272911,74.0,74.0,3.0,138000.0
Belgrano,-34.5735447,-58.4409543,83.0,54.0,2.0,175000.0
Villa Urquiza,-34.5703149,-58.4830019,144.0,62.0,,190000.0
Belgrano,-34.5688535252,-58.4569535246,118.0,108.0,,268000.0
Saavedra,-34.5546524,-58.4936437,84.0,69.0,3.0,195390.0
Belgrano,-34.5599177,-58.4451113,173.0,157.0,4.0,399000.0
Constitución,-34.6234611,-58.3843783,45.0,45.0,,65000.0
Almagro,-34.6118423,-58.4116076,80.0,74.0,4.0,148000.0
Caballito,-34.62859,-58.4460558,97.0,94.0,4.0,205000.0
Belgrano,-34.5588770625,-58.4621651515,146.0,127.0,6.0,300000.0
Balvanera,-34.5918850626,-58.3961030357,104.0,104.0,,199000.0
Almagro,-34.5910948,-58.5241044,76.0,76.0,4.0,149000.0
Villa del Parque,-34.6066163,-58.4909214,65.0,52.0,3.0,130000.0
Palermo,-34.5859869,-58.4112318,65.0,50.0,2.0,120000.0
Liniers,-34.6404945,-58.5290348,49.0,44.0,2.0,130000.0
Almagro,-34.6090764,-58.4261092,46.0,42.0,2.0,118500.0
Once,-34.6057279,-58.4056399,81.0,78.0,,119000.0
Nuñez,-34.5429344,-58.4617742,79.0,75.0,2.0,360000.0
Villa Crespo,-34.596715,-58.444045,40.0,36.0,2.0,74000.0
Abasto,-34.6036497,-58.4116124,59.0,56.0,2.0,135000.0
Palermo,-34.5729505,-58.4227248,89.0,84.0,3.0,340000.0
Villa Crespo,-34.6026497737,-58.4368541662,71.0,66.0,2.0,150000.0
Almagro,-34.6030281349,-58.420744008,117.0,112.0,4.0,268000.0
Palermo,-34.5786013,-58.4121271,105.0,102.0,4.0,380000.0
Villa Crespo,-34.5975096,-58.4390573,89.0,86.0,,185000.0
Caballito,-34.6186737726,-58.4548030318,44.0,40.0,,85000.0
Almagro,-34.597982,-58.426876,66.0,60.0,3.0,160000.0
Belgrano,-34.56831,-58.471937,72.0,61.0,2.0,185000.0
Caballito,-34.6142794,-58.4354197,45.0,45.0,3.0,95000.0
Belgrano,-34.5581287653,-58.4544964474,71.0,65.0,3.0,170000.0
Villa Crespo,-34.6033592549,-58.4407199326,98.0,75.0,3.0,230000.0
Mataderos,-34.6582101,-58.5109039,51.0,46.0,2.0,93700.0
Belgrano,-34.5702209,-58.4482002,75.0,70.0,4.0,269000.0
Belgrano,-34.5659322,-58.4518896,69.0,64.0,2.0,180000.0
Saavedra,-34.5538467,-58.4920942,44.0,36.0,1.0,80566.86
Puerto Madero,-34.6096050553,-58.3663710068,46.0,44.0,,155000.0
Saavedra,-34.5413289,-58.473409,60.0,47.0,2.0,37983.0
Colegiales,,,56.0,52.0,2.0,119000.0
Palermo,-34.5835867,-58.4246948,42.0,42.0,1.0,118377.0
Villa Urquiza,-34.5772817,-58.4837972,47.0,44.0,2.0,115000.0
Villa Crespo,,,41.0,37.0,1.0,95760.49
Barracas,-34.6538388,-58.3886814,54.0,49.0,2.0,84600.0
Nuñez,-34.554806,-58.4787521,79.0,70.0,,163000.0
Almagro,-34.6090764,-58.4261092,46.0,42.0,2.0,118500.0
Caballito,-34.6139012,-58.4343342,84.0,82.0,4.0,155000.0
Flores,-34.577168,-58.538654,45.0,42.0,2.0,82000.0
Belgrano,-34.5694527,-58.4515507,50.0,44.0,1.0,135000.0
Caballito,-34.6249051,-58.4577784,56.0,50.0,2.0,138000.0
Congreso,-34.6043416,-58.3908247,142.0,142.0,5.0,250000.0
Palermo,-34.5774695252,-58.4225032795,86.0,80.0,,380000.0
Recoleta,-34.5970267,-58.4032272,149.0,109.0,4.0,249000.0
Almagro,-34.6214759425,-58.4242661093,41.0,39.0,2.0,89900.0
Centro / Microcentro,-34.5965341,-58.3809608,72.0,72.0,3.0,145000.0
Almagro,-34.608526,-58.417776,57.0,53.0,3.0,9865.43
Abasto,-34.6064955,-58.4124508,41.0,36.0,2.0,72000.0
Palermo,-34.5776848,-58.4243305,56.0,52.0,2.0,267000.0
Almagro,-34.6086026,-58.4214929,77.0,77.0,,179000.0
Caballito,-34.6227627,-58.436433,59.0,55.0,3.0,120000.0
Pompeya,-34.6539787,-58.4133755,150.0,130.0,,120000.0
Floresta,,,42.0,38.0,,65000.0
Paternal,-34.6027861,-58.4665561,44.0,41.0,1.0,99969.81
Villa del Parque,-34.605891067,-58.4968024142,51.0,51.0,2.0,108000.0
Barracas,-34.6366095,-58.3766021,100.0,90.0,,165000.0
Mataderos,-34.6475677,-58.4918168,75.0,65.0,2.0,95000.0
Congreso,-34.6092415,-58.3926706,160.0,160.0,4.0,260000.0
Mataderos,-34.6505982584,-58.4960692946,69.0,62.0,4.0,120000.0
San Telmo,-34.6170578,-58.3728773,70.0,68.0,3.0,130000.0
Caballito,-34.6045189,-58.4584262,100.0,80.0,4.0,165000.0
Floresta,,,39.0,39.0,,66500.0
Parque Centenario,-34.603438,-58.4364402,45.0,40.0,,130000.0
Belgrano,-34.5631385,-58.4678187,41.0,38.0,1.0,85000.0
San Telmo,,,54.0,49.0,2.0,132517.0
Belgrano,-34.5546395,-58.4393927,44.0,41.0,1.0,117000.0
San Telmo,-34.6248116,-58.3761483,76.0,73.0,3.0,300000.0
Saavedra,-34.5572596,-58.4834027,52.0,47.0,3.0,110000.0
Almagro,-34.6036741649,-58.4242048684,134.0,108.0,4.0,189000.0
Flores,-34.6239548,-58.449926,124.0,114.0,5.0,245000.0
San Telmo,-34.6235515,-58.3740817,62.0,50.0,3.0,139877.0
Palermo,-34.5861955914,-58.4299707413,43.0,39.0,1.0,118000.0
Caballito,-34.6148483,-58.4604643,40.0,35.0,1.0,106050.0
Las Cañitas,-34.5736615,-58.4325058,65.0,65.0,3.0,169000.0
Chacarita,-34.5840054122,-58.45571546,40.0,36.0,1.0,50000.0
Palermo,-34.5700718,-58.4323108,76.0,70.0,3.0,399000.0
Constitución,-34.620943,-58.3888695,54.0,47.0,,96000.0
Belgrano,-34.5620844,-58.4566864,70.0,60.0,,130000.0
Nuñez,-34.5495227,-58.4692294,104.0,85.0,3.0,251000.0
Belgrano,-34.5681779,-58.448055,59.0,51.0,3.0,149000.0
Villa Urquiza,-34.5675735,-58.4711972,76.0,50.0,2.0,155000.0
Villa Luro,-34.6405283,-58.5294588,55.0,50.0,,150000.0
Belgrano,-34.5595205148,-58.4451138624,48.0,48.0,,195300.0
Saavedra,-34.5574837,-58.4806697,179.0,117.0,3.0,380000.0
Floresta,-34.6324915,-58.4779917,93.0,90.0,4.0,144000.0
Palermo,-34.5978249,-58.416439,50.0,50.0,2.0,143000.0
Constitución,-34.6290629,-58.387054,53.0,51.0,3.0,85000.0
Congreso,-34.6166811,-58.3869394,78.0,78.0,3.0,115000.0
Caballito,-34.6201092,-58.4404094,138.0,134.0,,270000.0
Palermo,-34.5866135,-58.4390914,53.0,49.0,2.0,143550.0
Barracas,-34.632359,-58.37701,60.0,55.0,2.0,125000.0
Almagro,-34.6096454,-58.4186777,58.0,54.0,2.0,119000.0
Mataderos,-34.6451582,-58.4907929,59.0,55.0,3.0,92500.0
Palermo,-34.5905703207,-58.4174177754,57.0,41.0,,135000.0
Barrio Norte,-34.5883246348,-58.4034767571,50.0,50.0,3.0,173000.0
Villa Luro,-34.6403781208,-58.5070349233,88.0,76.0,,195000.0
Villa Santa Rita,-34.6100367846,-58.4787115886,40.0,37.0,,79000.0
Caballito,-34.6247108,-58.4516924,98.0,91.0,,230000.0
Almagro,-34.6026087,-58.4241996,113.0,100.0,3.0,205000.0
Boca,-34.6334711,-58.3616855,67.0,67.0,3.0,105000.0
Boedo,-34.6256279,-58.4270823,88.0,79.0,4.0,160000.0
Centro / Microcentro,-34.6032728,-58.3961414,72.0,45.0,3.0,204370.84
Palermo,-34.592786,-58.418908,35.0,35.0,1.0,120000.0
San Telmo,-34.620712,-58.371402,72.0,72.0,2.0,168000.0
Parque Patricios,-34.6320513455,-58.4032205741,68.0,63.0,3.0,140000.0
Flores,-34.6230902,-58.4618331,69.0,69.0,4.0,110000.0
Coghlan,-34.5653209202,-58.4716025037,39.0,35.0,1.0,80000.0
Monserrat,-34.6195729,-58.3973048,63.0,63.0,,105000.0
Villa Urquiza,-34.5688712,-58.4884216,48.0,41.0,2.0,103500.0
Villa Urquiza,-34.5714875,-58.4872822,38.0,35.0,,89500.0
Saavedra,-34.554791,-58.4846424,65.0,65.0,3.0,115000.0
Almagro,-34.6112232,-58.41567,70.0,70.0,3.0,125000.0
Villa Urquiza,-34.5768936,-58.4952547,36.0,36.0,,82000.0
Villa Luro,-34.6403781208,-58.5070349233,78.0,103.0,,205000.0
Palermo,,,49.0,43.0,2.0,150000.0
Saavedra,-34.557199,-58.480847,69.0,59.0,2.0,172000.0
Caballito,-34.6277772,-58.4484023,92.0,84.0,4.0,369000.0
Palermo,-34.5878079,-58.4398618,75.0,36.0,,117398.68
Belgrano,-34.5759862,-58.4390397,39.0,35.0,,115000.0
Flores,-34.6320988676,-58.4542443402,126.0,114.0,,275000.0
Centro / Microcentro,-34.6012328021,-58.3805326718,50.0,50.0,,110000.0
Palermo,-34.5830542765,-58.4241328351,46.0,42.0,,130000.0
San Telmo,-34.6251741,-58.3680309,47.0,42.0,1.0,87700.25
Villa del Parque,-34.6133864879,-58.4982720587,76.0,68.0,4.0,140000.0
Colegiales,-34.5817888,-58.449509,49.0,43.0,2.0,125000.0
Palermo,-34.5625,-58.458333,91.0,75.0,3.0,399000.0
Almagro,-34.6243811,-58.423241,101.0,66.0,3.0,185000.0
Villa General Mitre,-34.6150574,-58.4802378,49.0,47.0,3.0,92000.0
Belgrano,-34.5750392,-58.4717864,118.0,110.0,4.0,325000.0
Belgrano,-34.5620844,-58.4566864,46.0,41.0,1.0,130000.0
Palermo,-34.5867608,-58.4291478,84.0,39.0,1.0,154800.0
Palermo,-34.5859299,-58.4404055,44.0,34.0,1.0,99000.0
Chacarita,-34.5907409831,-58.4487530794,100.0,39.0,,83439.0
Villa Crespo,,,60.0,50.0,2.0,85000.0
Boedo,-34.63099,-58.4201892,36.0,34.0,,68458.0
Parque Patricios,-34.6225043862,-58.3964631214,65.0,60.0,4.0,92000.0
Boedo,-34.63099,-58.4201892,36.0,34.0,,69458.0
Parque Centenario,-34.60746,-58.43891555,76.0,69.0,3.0,175000.0
Recoleta,-34.5974586,-58.4033653,100.0,100.0,4.0,215000.0
Almagro,-34.6045502,-58.4211036,78.0,64.0,4.0,189000.0
Villa Urquiza,-34.5731507,-58.482362,41.0,34.0,1.0,105490.0
Palermo,-34.5824961,-58.4102772,100.0,91.0,4.0,270000.0
Caballito,-34.626039,-58.432732,72.0,60.0,3.0,185000.0
Flores,-34.6274952,-58.4392333,133.0,118.0,4.0,375200.0
Villa Urquiza,-34.6036844,-58.3815591,180.0,140.0,,178000.0
Caballito,-34.6242203,-58.4500796,83.0,80.0,,159000.0
Barrio Norte,-34.5936142,-58.3800404,50.0,50.0,2.0,160000.0
Caballito,-34.6203643,-58.4431823,73.0,70.0,3.0,130000.0
Nuñez,-34.5516787,-58.4651435,50.0,50.0,3.0,139000.0
Palermo,-34.5859299,-58.4404055,44.0,34.0,1.0,103000.0
Belgrano,-34.5558817828,-58.4619371046,43.0,38.0,1.0,117000.0
Almagro,-34.6033462,-58.424137,112.0,103.0,4.0,195000.0
Colegiales,-34.5710640663,-58.453650159,120.0,80.0,3.0,285000.0
Balvanera,-34.6240354,-58.4042052,53.0,53.0,2.0,126000.0
Palermo,-34.5686667973,-58.4331202353,68.0,60.0,2.0,200000.0
Villa Crespo,-34.6005624,-58.4439836,47.0,47.0,3.0,90000.0
Palermo,-34.5853989,-58.418262,86.0,86.0,,210000.0
Recoleta,-34.5904144,-58.4032589,130.0,120.0,,345000.0
Palermo,-34.5978249,-58.4164389,53.0,50.0,2.0,137000.0
Nuñez,-34.6140187704,-58.4888447988,123.0,94.0,,290000.0
Flores,-34.6262018,-58.4685707,55.0,52.0,,79900.0
Barrio Norte,-34.5958736,-58.3947615,110.0,102.0,3.0,312000.0
Almagro,-34.6004227,-58.420585,36.0,34.0,,120000.0
Belgrano,,,54.0,40.0,2.0,150000.0
Palermo,-34.574547,-58.4343478,53.0,45.0,3.0,135000.0
Monserrat,-34.6131613,-58.3861743,108.0,108.0,3.0,120000.0
San Telmo,,,51.0,39.0,2.0,110327.0
Villa Crespo,,,41.0,37.0,1.0,98259.73
Palermo,-34.5639398595,-58.4382636423,100.0,100.0,4.0,280000.0
Belgrano,-34.5688186,-58.4360816,97.0,85.0,4.0,259000.0
Constitución,-34.6261244,-58.3859524,42.0,34.0,,80896.57
Barracas,-34.6321116,-58.3703982,48.0,42.0,1.0,97536.27
Coghlan,-34.565477,-58.471318,115.0,98.0,5.0,205000.0
Villa Crespo,-34.6015609,-58.4333731,47.0,47.0,2.0,125000.0
Parque Avellaneda,-34.647382,-58.4772734,47.0,42.0,,84000.0
Nuñez,-34.5427503,-58.4601452,104.0,85.0,3.0,250000.0
Nuñez,-34.6037137392,-58.3815808896,82.0,66.0,3.0,215000.0
Once,-34.6036844,-58.3815591,84.0,80.0,3.0,125000.0
Congreso,-34.6134799418,-58.3871345206,72.0,64.0,3.0,149000.0
Nuñez,-34.5361321,-58.4672451,134.0,102.0,4.0,330000.0
Villa del Parque,-34.607247067,-58.4831445906,163.0,120.0,4.0,300000.0
Villa Devoto,-34.5947552,-58.49967,40.0,40.0,2.0,70000.0
San Telmo,,,52.0,47.0,2.0,111066.0
Caballito,-34.607026,-58.442438,49.0,44.0,2.0,140000.0
Palermo,-34.5771693,-58.4300256,50.0,37.0,2.0,80000.0
Flores,-34.6154117,-58.4754707,72.0,69.0,4.0,144000.0
Tribunales,-34.6021118,-58.3851437,46.0,46.0,,81000.0
Almagro,-34.6028321,-58.4242999,111.0,103.0,4.0,288808.0
Flores,-34.6448325,-58.4528206,54.0,50.0,3.0,95000.0
Almagro,-34.612287,-58.422895,89.0,82.0,3.0,216214.0
Villa Crespo,-34.5972441,-58.4416588,101.0,91.0,4.0,189000.0
Floresta,-34.6344407,-58.4747469,70.0,61.0,2.0,122000.0
Villa Crespo,-34.6051872,-58.4567122,43.0,37.0,1.0,79500.0
Barrio Norte,-34.5982248,-58.4041773,53.0,50.0,3.0,135000.0
Centro / Microcentro,-34.6177615,-58.383662,42.0,34.0,1.0,74000.0
Barracas,-34.6363572,-58.3767044,140.0,70.0,3.0,250000.0
Flores,-34.6256447,-58.4611155,42.0,38.0,,85570.0
Villa Urquiza,-34.578408,-58.4958691,79.0,70.0,3.0,145000.0
Belgrano,-34.5617724283,-58.4485520439,147.0,147.0,3.0,330000.0
Palermo,-34.5771209,-58.4381936,40.0,36.0,1.0,110000.0
Monserrat,-34.6141777,-58.3802033,40.0,34.0,,80000.0
San Telmo,-34.6244303,-58.3741828,52.0,47.0,2.0,109246.0
Palermo,,,38.0,34.0,1.0,104173.0
Belgrano,-34.563252,-58.456441,50.0,50.0,2.0,138000.0
Belgrano,-34.5758907,-58.4624843,130.0,103.0,4.0,245000.0
Villa Urquiza,-34.5865029041,-58.4773635689,43.0,37.0,2.0,30000.0
Recoleta,-34.5863241,-58.3877694,70.0,70.0,3.0,235000.0
Barrio Norte,-34.5903395,-58.3936166,120.0,114.0,4.0,360000.0
Constitución,-34.621907,-58.3887891,74.0,74.0,3.0,120000.0
Caballito,-34.6176481,-58.4619167,50.0,45.0,1.0,127020.63
Caballito,-34.6293468,-58.4353111,84.0,42.0,,120000.0
San Nicolás,-34.60434,-58.390858,143.0,126.0,4.0,250000.0
Villa Crespo,-34.5976878,-58.4340387,94.0,72.0,4.0,200000.0
Balvanera,-34.6115557,-58.4102154,48.0,44.0,,80000.0
Barracas,-34.631591,-58.370191,49.0,42.0,1.0,75845.46
Coghlan,-34.6036844,-58.3815591,104.0,86.0,1.0,210000.0
Nuñez,-34.5496870424,-58.467528104,55.0,50.0,,200000.0
Retiro,-34.5999689,-58.3768192,50.0,50.0,,99000.0
Colegiales,-34.5703376,-58.4425508,47.0,47.0,1.0,99700.0
Balvanera,-34.615138,-58.3992878,92.0,87.0,,180000.0
Liniers,-34.6415407158,-58.5167060944,100.0,92.0,3.0,158000.0
Flores,-34.6187853,-58.4791827,48.0,43.0,,85000.0
Parque Avellaneda,-34.6451582,-58.4907929,59.0,55.0,3.0,94500.0
San Telmo,,,54.0,49.0,2.0,118974.0
Saavedra,-34.5538454266,-58.4919050998,34.0,34.0,,105000.0
Belgrano,-34.5692991,-58.4498983,75.0,70.0,,185000.0
Villa Ortuzar,-34.5792764,-58.4548802,82.0,70.0,3.0,229700.0
Caballito,-34.6138646386,-58.4267239253,97.0,95.0,,199000.0
Belgrano,-34.5680472,-58.452962,46.0,40.0,2.0,177000.0
Villa Lugano,-34.666197,-58.48118,93.0,54.0,2.0,65000.0
Mataderos,-34.6555941,-58.5182496,51.0,35.0,1.0,90000.0
Floresta,-34.6465128,-58.488904,68.0,59.0,3.0,125000.0
Barracas,-34.6321116,-58.3703982,48.0,42.0,1.0,100035.51
Barrio Norte,-34.5888694,-58.3913369,57.0,52.0,2.0,210000.0
Barracas,,,118.0,72.0,3.0,90000.0
Villa Crespo,-34.5987208,-58.4404368,51.0,51.0,3.0,108000.0
Tribunales,-34.5969642626,-58.3862584307,94.0,91.0,3.0,289000.0
Barrio Norte,-34.598615,-58.3970315,56.0,48.0,2.0,147000.0
Belgrano,-34.5683309,-58.4425799,113.0,103.0,4.0,318000.0
Villa Urquiza,-34.5647507,-58.4891059,40.0,36.0,2.0,98000.0
Caballito,-34.6212073,-58.4345907,115.0,105.0,4.0,205000.0
Villa del Parque,-34.6052532843,-58.4936738106,36.0,36.0,,76000.0
Caballito,-34.616512,-58.4436838,74.0,67.0,3.0,135000.0
Caballito,-34.6117136,-58.4605517,42.0,38.0,2.0,82000.0
Caballito,-34.6148483,-58.4604643,42.0,35.0,1.0,108045.0
Saavedra,-34.549741,-58.48622,44.0,44.0,2.0,54700.0
Villa Crespo,-34.6047969,-58.454126,45.0,40.0,2.0,95000.0
Villa Urquiza,-34.5800803,-58.4920978,50.0,50.0,2.0,85000.0
Belgrano,-34.5558424,-58.457783,61.0,50.0,3.0,155000.0
Barracas,-34.624859,-58.3712223,82.0,78.0,3.0,129000.0
Belgrano,-34.5551436,-58.455652,79.0,70.0,2.0,215000.0
Villa Luro,-34.6405489,-58.5299296,100.0,100.0,4.0,330000.0
San Telmo,-34.6226773,-58.3667589,64.0,61.0,2.0,172334.32
Retiro,-34.5946557,-58.3877428,95.0,87.0,4.0,300000.0
Monserrat,-34.6155049,-58.3847964,135.0,130.0,4.0,160000.0
Villa Crespo,-34.6010588,-58.4609647,68.0,68.0,2.0,99000.0
Caballito,-34.6213159,-58.4604526798,85.0,80.0,,13811.6
Constitución,-34.6240024,-58.3905883,43.0,43.0,2.0,65000.0
Barrio Norte,-34.5936357,-58.4045659,138.0,131.0,,345000.0
Monserrat,-34.6152189,-58.383156,80.0,74.0,3.0,155000.0
Nuñez,-34.5542242,-58.4678339,45.0,40.0,,123500.0
Saavedra,-34.5428883979,-58.4807938485,40.0,38.0,,110000.0
Coghlan,-34.5656142,-58.4801449,104.0,104.0,5.0,167000.0
Paternal,-34.5958969,-58.4715637,66.0,60.0,,98000.0
Palermo,-34.5977779,-58.4182712,44.0,40.0,1.0,130000.0
San Cristobal,-34.6223398871,-58.4085322312,69.0,66.0,3.0,174000.0
Belgrano,-34.5684815,-58.4513388,80.0,70.0,3.0,178000.0
Barrio Norte,-34.5937383,-58.4034056,90.0,90.0,4.0,235000.0
Recoleta,-34.5833493,-58.4061006,160.0,151.0,4.0,398000.0
Almagro,-34.6115734,-58.4180781,75.0,60.0,2.0,115000.0
Belgrano,-34.5607742,-58.4606278,73.0,65.0,3.0,330000.0
Belgrano,-34.5692676659,-58.4526904408,127.0,119.0,,308000.0
Palermo,-34.595688,-58.4031864,102.0,100.0,3.0,235000.0
Almagro,-34.6038532,-58.430481,67.0,50.0,3.0,118000.0
Almagro,-34.61098,-58.417856,77.0,71.0,3.0,189237.0
Once,-34.6009862,-58.408268,44.0,44.0,2.0,94000.0
Floresta,,,120.0,120.0,,214000.0
Congreso,,,89.0,89.0,3.0,160000.0
Almagro,-34.6202466,-58.4165902,43.0,40.0,1.0,89500.0
Liniers,-34.6429944802,-58.5109918442,55.0,36.0,,90000.0
Villa Urquiza,-34.5745302,-58.4928592,35.0,35.0,,64000.0
Barrio Norte,-34.5950091015,-58.3845022037,100.0,94.0,,257000.0
Villa Urquiza,-34.5770323,-58.4798783,60.0,50.0,2.0,145000.0
Belgrano,-34.565563,-58.4533167,95.0,93.0,4.0,195000.0
Belgrano,-34.5683783,-58.449379,116.0,54.0,3.0,239000.0
Boedo,-34.6239614,-58.4034766,46.0,41.0,,90000.0
Flores,-34.6352242,-58.4676975,76.0,63.0,3.0,139000.0
Parque Chacabuco,-34.6327422,-58.4408154,75.0,68.0,,169000.0
Palermo,-34.5819463286,-58.4478355242,37.0,34.0,1.0,100000.0
Flores,-34.626394,-58.4594467,65.0,56.0,3.0,133808.18
Caballito,-34.6209278,-58.4458736,77.0,59.0,3.0,143429.0
Belgrano,-34.5644993,-58.451051,146.0,138.0,4.0,360000.0
Barrio Norte,-34.5912139,-58.3986378,90.0,82.0,4.0,240000.0
Barracas,-34.6412989,-58.3707635,54.0,51.0,2.0,110000.0
Belgrano,-34.6168909,-58.402719,34.0,34.0,,87000.0
Belgrano,-34.5653042899,-58.4379652889,80.0,74.0,3.0,180000.0
Palermo,-34.5747531701,-58.4407633688,43.0,43.0,,169000.0
San Nicolás,-34.6055538,-58.376534,64.0,64.0,3.0,98000.0
Parque Chacabuco,-34.6036844,-58.3815591,45.0,45.0,,85000.0
Belgrano,-34.5733653,-58.4384417,35.0,35.0,,85000.0
Palermo,-34.5885144,-58.4120115,80.0,49.0,2.0,158000.0
San Telmo,-34.621327,-58.3757206,38.0,34.0,,78000.0
Caballito,-34.628756066,-58.4540675951,162.0,146.0,,269000.0
Villa Urquiza,-34.5731507,-58.482362,76.0,65.0,3.0,191668.0
Barrio Norte,-34.5985872,-58.3973385,88.0,85.0,3.0,233000.0
Saavedra,-34.5469102,-58.47859,51.0,45.0,2.0,113000.0
Palermo,-34.5869637,-58.4212588,96.0,88.0,4.0,218000.0
Recoleta,-34.5952138,-58.3858364,156.0,132.0,5.0,350000.0
Villa Crespo,-34.593422,-58.4423025,40.0,34.0,,78493.0
Belgrano,-34.5637842261,-58.4654250566,152.0,142.0,4.0,398000.0
Villa del Parque,-34.6037603,-58.4879552,45.0,40.0,2.0,100000.0
Barracas,-34.65,-58.383333,60.0,54.0,,127000.0
Villa del Parque,-34.6056046,-58.4962758,52.0,47.0,2.0,110000.0
Barrio Norte,-34.5859825,-58.4148132,229.0,70.0,3.0,245000.0
Palermo,-34.595688,-58.4031864,102.0,100.0,4.0,235000.0
Colegiales,-34.574537,-58.4554388,74.0,68.0,3.0,216902.91
Floresta,,,65.0,60.0,3.0,89900.0
Villa del Parque,-34.6026301,-58.5017404,71.0,65.0,3.0,160000.0
Colegiales,-34.5709978,-58.4440588,67.0,63.0,3.0,206000.0
Barrio Norte,-34.5926547,-58.3982647,102.0,102.0,3.0,295000.0
Belgrano,-34.575535,-58.438102,53.0,44.0,2.0,149000.0
Palermo,-34.5807444,-58.4247993,67.0,60.0,3.0,160000.0
